ID,Number sequenced PE reads,Number quasi-mapped PE reads,Quasi-mapping rate (%)
5343_BA9_neg,94914833,30855347,32.51
5343_BA9_pos,101405181,27041316,26.67
5343_NAcc_neg,109396677,41348181,37.8
5343_NAcc_pos,91783333,34940177,38.07
5347_BA9_neg,129569491,38224169,29.5
5347_BA9_pos,99591858,39267826,39.43
5347_NAcc_neg,137090898,39337659,28.69
5347_NAcc_pos,108792056,37703547,34.66
5358_BA9_pos,90096602,33000537,36.63
5358_NAcc_pos,70287420,20295698,28.88
5404_BA9_neg,65323192,17702298,27.1
5404_BA9_pos,94793950,23277923,24.56
5456_BA9_neg,108047951,56703470,52.48
5456_BA9_pos,105314160,52620522,49.97
5456_NAcc_neg,118514292,67074024,56.6
5456_NAcc_pos,87596494,45668056,52.13
5540_BA9_neg,101859164,41746212,40.98
5540_BA9_pos,111669340,39363588,35.25
5540_NAcc_neg,99091954,43951504,44.35
5540_NAcc_pos,89424059,32364253,36.19
